"|","|__date","|__Aqua","|__year","|__Air Panas+gula","|__Test Food","|__tea float","|__Orange Float","|__Ayam Goreng","|__test food","|__Kopi Susu","|__sosis 1rb","|__sosis goreng","|__Sop","|__test2","|__Nasi Telur ","|__Nasi Bungkus","|__Tahu Tek","|__es batu","|__Krupuk","|__Kentang Goreng","|__voucher 15.000","|__Spaghetti","|__Teh Panas","|__french fries ","|__ayam geprek","|__Ayam Geprek (Tanpa Nasi)","|__SebLak Muzam","|__Mie Keriting","|__Nasi Goreng","|__kerupuk udang","|__tahu crispy","|__telur mata sapi","|__voucher 11000","|__Sosis","|__Telur Mata Sapi","|__Tahu Tek ","|__Club","|__Seblak AsLi","|__Isoplus","|__NasBung B","|__Pisang G","|__Sprite","|__Fanta","|__Nasi Pindang","|__Nasi Telur","|__Es Buah","|__Mie (Tanpa Telur)","|__Ayam Silep (tanpa nasi)","|__Nasi Sosis Goreng","|__ayam silep","|__Floridina","|__Coca-Cola","|__Sosis Naget","|__month","|__Es Kopi Durian","|__Sereal","|__Frestea","|__Aqua 600ml","|__Mie Ayam","|__NasBung A","|__Kopi Hitam","|__soto ayam","|__tahu ranjau","|__gorengan","|__nasi ayam silep","|__Es Milo","|__ES","|__Nasi Bungkus ","|__Soto","|__Masak Mie ","|__Air Mineral","|__Kerupuk ","|__Es Krim","|__Jeruk Hangat","|__Kerupuk","|__Coca Cola Float","|__Sayur Asem Tempe Goreng","|__Es Chocolatos","|__Nasi Putih ","|__Ayam Geprek","|__Nasi Sosis","|__Tahu Krispy","|__Sayur Asem Lele","|__soto","|__Masak Mie","|__Sosis 1rb","|__voucher 15000","|__Es Salju","|__Es Cendol","|__sebLak 375","|__Popmie","|__Teh Pucuk Harum","|__Nasi Ayam","|__Kentang G","|__Tahu G","|__Milo","|__Siomay","|__Cireng isi","|__Mie","|__Penyetan Dadar","|__Voucher","|__Coffee Float","|__Sayur Sop Tempe Goreng","|__Sayur Sop Ayam Goreng","|__Aneka Kopi","|__Cireng Isi","|__Masak Mie+Telur","|__Penyetan Telur ","|__Penyetan Lele","|__Pecel Tempe","|__Penyetan Ayam ","|__Es Batu/air panas","|__sayur Asem lele","|__sosis 1rb ","|__tes","|__Ayam Silep","|__Ayam Silep (Tanpa nasi)","|__Es Salju (Slushy)","|__sosis","|__Es Dawet Cincau","|__Es Teh","|__Tea Float","|__mie","|__Es Batu","|__Sosis 1rb ","|__Nasi Putih","|__air gelas","|__Penyetan Tempe","|__Kuah Sop ","|__Air Panas","|__Es krim","|__Es Jeruk","|__brengkesan pindang","|__Sayur Asem Telur Goreng","|__Penyetan Ikan Asin","|__Es Kopi","|__Chocolatos Float","|__Mie Tanpa Telur","|__French Fries","|__nasi goreng","|__masak mie+telur","|__ayam silep (tanpa nasi)","|__nasi sosis goreng ","|__masak mie","|__nasi putih","|__nasi telur","|__Lele goreng","|__Gorengan ","|__Telor Matasapi","|__total","|__Risol Mayo","|__Pisang Coklat Keju","|__Chocolatos Panas","|__Kuah Sop","|__penyetan lele","|__mie tanpa telur","|__cireng ","|__Test","|__jeruk hangat","|__cireng isi","|__jus mangga","|__Masak Mie + Telur","|__Sosis Goreng","|__Sayur Sop Telur Goreng","|__Tahu Telur","|__Tes","|__test","|__test minuman2","|__Es Dawet","|__Bakso","|__Gorengan","|__Sayur Asem Dadar","|__Es Kopi/chocolatos","|__Sayur Asem Ayam Goreng","|__Sebak 375","|__timestamp___seconds","|__timestamp___nanoseconds","|__customerNumber","|__-","|__Voucher Rp11000","|__cireng jumbo","|__Teh Hangat"
"2022-02-17","2022-02-17","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","2022-02","0","0","0","0","0","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","14","33","9","49","18","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","926000","","","","","","","","","","","","","","","","","","","","24","","","","","","1645069878","0","61","","","",""
"2022-02-19","2022-02-19","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","3","2","","","","","","1","1","0","2022-02","0","0","0","2","0","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","12","15","34","16","65","34","","","","","","","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1337000","","","","","","","","","","","","","","","","","","","","26","","","","","","1645242926","0","89","","","",""
"2022-02-20","2022-02-20","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","1","0","","","","","","3","0","0","2022-02","0","0","2","2","0","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","20","36","21","47","29","","","","","","","","","","","","","","","","","","","","","","","","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1259000","","","","","","","","","","","","","","","","","","","","22","","","","","","1645329258","0","83","","","",""
"2022-02-21","2022-02-21","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","2","1","0","","","","","","1","0","0","2022-02","0","0","0","0","0","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","15","33","9","39","27","","","","","","","","","","","","","","","","","","","","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070000","","","","","","","","","","","","","","","","","","","","26","","","","","","1645447625","743000000","69","","","","1"
"2022-02-22","2022-02-22","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","2022-02","0","0","0","0","0","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","3","5","3","8","3","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201000","","","","","","","","","","","","","","","","","","","","3","","","","","","1645492969","0","11","","","","0"
"2022-02-23","2022-02-23","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","0","0","0","","","","","","4","0","0","2022-02","0","0","4","0","0","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","11","21","0","25","13","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612000","","","","","","","","","","","","","","","","","","","","16","","","","","","1645616619","993000000","36","","","","1"
"2022-02-24","2022-02-24","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","2022-02","0","0","0","1","0","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","4","19","10","27","25","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","796000","","","","","","","","","","","","","","","","","","","","22","","","","","","1645692272","843000000","60","","","","1"
"2022-02-26","2022-02-26","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","1","0","0","2022-02","0","0","0","0","0","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","13","23","13","26","27","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","835000","","","","","","","","","","","","","","","","","","","","17","","","","","","1645866859","491000000","60","","","","4"
"2022-02-27","2022-02-27","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","2022-02","0","0","0","1","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","8","28","13","30","19","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","828000","","","","","","","","","","","","","","","","","","","","15","","","","","","1645951478","390000000","60","","","","0"
"2022-02-28","2022-02-28","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","5","0","0","2022-02","0","0","0","0","0","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","28","73","11","47","41","","","","","","","","","","","","","","","","","","","","","","","","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1626000","","","","","","","","","","","","","","","","","","","","34","","","","","","1646035739","472000000","88","","","","0"
"2022-03-01","2022-03-01","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","2","0","4","","","","","","0","0","0","2022-03","0","0","0","5","0","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","23","22","11","27","27","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","989000","","","","","","","","","","","","","","","","","","","","23","","","","","","1646124386","212000000","63","","","","0"
"2022-03-02","2022-03-02","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","0","0","","","","","","1","0","0","2022-03","0","0","0","0","0","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","11","25","10","30","24","","","","","","","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","842000","","","","","","","","","","","","","","","","","","","","16","","","","","","1646211788","917000000","51","","","","2"
"2022-03-03","2022-03-03","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","3","","","","","","4","0","0","2022-03","0","0","2","1","0","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","29","33","23","32","40","","","","","","","","","","","","","","","","","","","","","","","","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1550000","","","","","","","","","","","","","","","","","","","","26","","","","","","1646305693","309000000","94","","","","1"
"2022-03-05","2022-03-05","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","2","","","","","","3","0","0","2022-03","0","0","1","5","0","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","14","26","9","37","26","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1094000","","","","","","","","","","","","","","","","","","","","18","","","","","","1646469955","747000000","73","","","","3"
"2022-03-06","2022-03-06","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","5","","","","","","1","0","0","2022-03","0","0","0","0","0","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","15","25","17","33","26","","","","","","","","","","","","","","","","","","","","","","","","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1207000","","","","","","","","","","","","","","","","","","","","25","","","","","","1646554853","551000000","76","","","","2"
